MsgID,MsgBody
'kyijzal',satellite propel ion thrusters thrusters fuel efficient load propellant onboard satellite good years low thrust every ounce thrust rather tiny fraction take lot electricity satellite launch together pack rocket like pileof dish need time drift aparat evenly fill entire orbit km miles long moreover get launch low orbit well operational one different reason launch lower orbit take less work rocket could carry single launch rocket carry lower orbit satellite doesnt work fall back atmosphere soon doesnt increase debris orbit satellite need avoid due complex reason long explain short reply satellite orbit different altitudes slowly drift technical term precess underneath operational orbit exactly include operational orbit precess lower ones precess faster several dozen orbit starlink group single launch often aim fill satellite hang around lower orbit wait precess underneath operational one aim raise hang around wait take fuel despite high efficiency engines less fuel use better effect spread along orbit wait precession proper orbital slot slowly rise operational altitude take month
'kyik4pn',longtemps jai commander et jai eu aucun avec la douane mãªme si cest pas garanti pour tout le monde va faire ans quon la et valait absolument le coup est petit bourg linstallation de la fibre bien trop cher et avec starlink arrive ã avoir un de plus de niveau quelques mini coupures rarement mais rien de grave cest bien meilleur quorange sur tout les point
'kyiklpy',le fibre de sfr dans la oã¹ et vivrai donc pour le moment car bcp ã
'kyikwfd',im understand know appreciate start inverter solution simply didnt want mess create something minimal amount work perhaps others want build replacement power supply inverter option add bonus able charge devices far easier approach expense losses conversions bigger footprint
'kyilh5f',base location thats starlink want point
'kyim1t4',dish must
'kyimzed',thing happen work year die yesterday randomly almost go crazy reset bypass multiple time read people issue send support ticket hope next connector last longer
'kyinjvj',dont know happen starlink devices suddenly account work email lock send many email customer support service solution device
'kyino4c',still hard think connection fairly solid consider miles speed latency time
'kyiowe3',speed good either amazon stick buffer lot read â know improve look assistance possibleâ
'kyipszt',thank amaze young sir
'kyipvli',talk support change gen dish state reach us replace gen starlink kit current standard portability subscription gen kit since already pay subscription put new kit another note cable
'kyis8ta',speed funnily enough trashtra midst use french company launch leo service australia
'kyiuw8h',bogata tx
'kyiuwjd',would bother launch solar wind damage serviceable option best wait assign dish new satellite
'kyiwq39',think would helpful others say state country live people reference work best simply worth cheer
'kyiy00d',recently talk guy work high frequency trade infrastructure one well know shop say already lower latency options fix wireless microwave shortwave starlink isnt go useful
'kyiyx40',app say statistics second tab
'kyiz3e7',sunday even live right middle path campgrounds completely full live right area big recreation im go think roughly different camo store starlink system hiccup
'kyj0inn',worry metal zip tie thing rub cable otherwise congrats
'kyj19aq',status norway noe anyone use starlink norway especially trondheim north
'kyj1r86',n cat
'kyj44qh',use move around
'kyj4749',residential plan
'kyj4ir8',realize small satellite cell pretty large areas cell probably reliable fiber internet much congestion
'kyj58fy',regular mobile cost equivalent live advantage
'kyj6tn2',dishy change flatter im latitude
'kyj9pwz',say fantastic time alive thank elon love starlink service
'kyjawjq',gen get better speed latency gen
'kyjbarj',gen user connect power source dishy currently mount barn best unobstructed view way power surge trip gfci starlink contact starlink case something end end reset gfci work great wednesday today get email ship notice send system read post read cable proprietary totally different plug question keep hang sell cant keep gen easy cable work around adapter get ethernet adapter utilize way plug already exist company call stargear sell aftermarket cable look starlink would length need option ditch move system closer house use pole run cable either direction one power source barn one house
'kyjbh8c',try change service plan
'kyje9pi',central
'kyjf74e',actually around really connect cord tightly already pole kinda put outside slack around
'kyjfl1v',buy starlink plan originally ship nc bring sint maarten ip always look like atlanta
'kyjfryx',constantly speed higher obstructions
'kyjg4ra',distance go nyc hong kong always faster starlink poster talk active
'kyji9em',mate issue android
'kyjiv80',really need know starlink routers bottom light plug even dish plug
'kyjiviz',reach starlink send new dish free downside isnt latest version guess beggers cant choosers
'kyjkemq',faster shortwave
'kyjme45',might recommend bite slack cable especially two actuators
'kyjmp0r',mind dming question also live delaware want ask things purchase thank advance
'kyjn1l4',kind rear mount setup im try without roof rack
'kyjpdxi',starlink tell send generation cable instead generation need let return incorrect cable full refund well credit account month never get chance use service customer service
'kyjpgho',availability map https show country estimate availability thats anyone know
'kyjpkcb',ty
'kyjqcd2',totally make sense work would think yeah read hear people call rheem helpful reps unfortunately gal behemoth super tiny closet think able rotate go try put wifi extender right front unit via extension cord see work stay tune
'kyjqmth',id
'kyjrily',try dice
'kyjrpf6',name mine official use mobile rv setup people keep ask use every time camp
'kyjs5f3',sorry saw cost associate im im self hoster person
'kyjthvm',https passengers like alaska fly anywhere since roads state
'kyju8hh',â
'kyjvheu',lot stuff well things self host inherently require external resources like isp bond require outside service since essentially different connections data center combine one connection could check http open diy bond solution still need pay host data center nearly polish speedify otherwise without pay service get router simple failover load balance seamless bond
'kyjvx1f',cant self host fail service see say vpn another connection isnt way service like
'kyjww9c',mine everybody get chuckle find fit
'kyjx7si',international trade talk name technology travel thousands miles bypass know roadblocks vacuum short wave ill tell starlink
'kyjxkh2',exactly say end pay service simple failover failover drop lot packets likely switch
'kyjy2k7',sorry service like need data center tell general service like would impossible setup home
'kyjy9s4',absolutely travel thousands miles speed light vacuum starlink slower base path length alone
'kyjyf2p',kind wifi boaster also generation starlink
'kyjyi2w',value add subscription include prime pay play
'kyjyj4n',provider amazon prime
'kyjyugo',embark installation take entire day install house mount way overhang highest point roof yesterday begin installation turn process get work customer support useless screen door submarine go climb back ft ladder make sure cord dish plug properly
'kyjzasa',dunno must im try argumentative dont get couldnt service home
'kyjzjrx',look become new subscriber sure secure well
'kyk021h',sign globaltv need enter service provider internet provider shaw telus whatever
'kyk05tg',starlink internet service tv service service provider theyre ask whatever tv source use get television channel like belltv shaw cable rogers ignite tv etc dont tv subscriptions like would subscribe one get survivor live show stack tv extra sub pay per month extra prime video im sure tv channel
'kyk0egj',problem pay problem sign try sign globaltv stackedtv app request code get code sign service provider like telus shaw starlink list sign globaltv starlink
'kyk0gx4',starlink isnt go useful hm thats necessarily true fix wireless microwave shortwave maybe others microwave chicago nyc example issue first take wide path around lake michigan second tses watch weather constantly see rain path link adverse weather event fall back spread line also microwave lot less bandwidth fiber link prioritize shortwave bandwidth ridiculously low challenge mention manage ton tower infrastructure fcc license etc firm definitely jump citadel impressive amount radio tower us europe also fact microwave link nyc london chicago tokyo china hahahaha kid youre either use shortwave incredibly low bandwidth youre rely fiber link shortwave faster yes variance specific link city city still super low bandwidth starlink play role firm need bandwidth shortwave provide firm dont capital require maintain bunch fcc license large radio tower etc yes also opinoins disclaimer
'kyk0gzm',question globaltv starlink nothing gtv isp
'kyk0mcp',lead indicate power router however router broadcast establish ssid prove work extent possible may poor electrical contact somewhere cable circuit open conductor poorly seat connector accumulation oxidation condensation corrosion connector pin cable might fine good electrical contact count quick check issue starlink app scroll select may need select first older app release select find label cable ping drop rate https continuous continuity test measure ping lose value higher may indicate bad cable damage conductors corrosion oxidation pin wiithout electrical contact fault either cable connector within dishy router indicate disconnect circuit ie open conductor somewhere circuit provide zero electrical contact cable ping drop rate read
'kyk13cw',prime cant access stack
'kyk15s0',shouldnt need sign global app open prime app sign prime app launch stack within subscriptions stack tv include global tv content able find youre look
'kyk1aoz',speed light satellite similar orbit delta speed doppler effect dish satellite grind terminal doppler effect give orbital altitude absolute minimum transmission delay dish grind terminal ms ms process time orbital routers grind station routers pure theoretical
'kyk1p5i',subscribe stack still cant access globaltv
'kyk1xsn',snark reddit man stack still unable access globaltv
'kyk20qv',suspect devices dont sufficient log able tell decisively
'kyk21ag',need data center bond point inherently need outside home place faster reliable internet connections bond usually data center could host bond point house subject speed outages substantially increase latency triple data usage
'kyk26dm',dont know legit thats depiction holmann transfer orbit use launch vehicles mar elon confirm graphic starlink routers
'kyk29co',clear map reboot thank
'kyk2agt',tv part stack tv dont need go survivor stack tv technically stack tv own corus own global
'kyk2x5p',cant access apparently sign starlink us use canadian data get stack
'kyk32ty',slow nothing like cell service everybody mobile phone nearly many starlink imo bad go get even everyone rv already wont use starlink tomorrow eclipse
'kyk37hj',dollar general
'kyk3dij',eclipse thousands people rural areas swamp limit infrastructure
'kyk3f2l',work fast enough compensate annoy second drop think thing canada
'kyk3lnf',disappoint prime cancel stack prim get good movies series find want look
'kyk4z7z',ripoff ime experts little basic knowledge tech service order starlink directly setup idiotproof enough backend support thats free problems
'kyk5fum',awesome delete thread look less dumb appreciate help
'kyk5na0',buy mine bestbuy last year didnt get warranty havent need buy mount kit bolt awning roof amazon perfect make sure make drip loop cable dont full weight cable pull connection dish
'kyk6ne2',beaver bend near break bow
'kyk7zut',im data intensive stuff like game never notice occasional second dropouts know occur show system page lose signal reboot update otherwise seem tow load tvs stream program surveillance cams say neither service perfect bless ive never service fail time yet
'kyk8cep',app update firmware push apr coincide update morning receive update middle night go wake couple days later get another firmware push mar background back
'kyk9o0g',aside fee fee comment us operate fact base world laughable attempt make question starlink must get approval operate country operate like normal plenty countries operate simple full stop
'kyk9yp2',think maybe starlink phone provider shrink pixelate much look telus price good sales pitch much money would good security backup
'kyka7v2',comment completely irrelevant op
'kykamag',complaints
'kykawcf',provider nationalize otherwise still use heo satellite compete go fail soon sl drop area big provider basically go business service use heo satellite exclusively area absolute crap comparison see happen brics nations sign deal musk backend use sl network face customers
'kykaz8b',also doesnt anything tap update restart manually also didnt take care hop update automatically tonight
'kykb1mp',screw dish buy extra mount equipment https https
'kykbbgm',understand monitor sub starlink support terrible take two weeks get response let alone part
'kykbdit',work great
'kykbhx4',churn data little years use original hardware router recently upgrade deco
'kykcjec',necessary read c starlink
'kykdezl',plan constellation leo directly compete starlink kuiper
'kykdmng',go bolt stump back yard cable run house
'kykdrz1',years gen rev still roll along lately better ever
'kyke8n0',gen hammer away years still get amaze speed never drop worst time back mbps upload ms latency also spare poe ship back stop manufacture gen incase mine ever fail havent need ever swap yet thankfully gen best dish make reason need perform good beta could positive review show world starlink perform go public
'kykf9yz',would make expense set constellation musks ready go would make sense make nationalize provider reseller brand use starlink network
'kykffpj',first take wide path around lake michigan seem fix wireless tall tower ought able get lake far even go around wouldnt far detour space back shortwave bandwidth ridiculously low yes theres essentially unlimited bandwidth milliseconds behind via fiber amount bandwidth need shortwave link carry really much time sensitive information example could simply send single integer index choose one option gigabyte array predictions send ahead time milliseconds ago also starlink isnt useful hft much less bandwidth fiber also higher latency shortwave narrow window medium bandwidth extreme distance medium latency need would actually fit starlink im sure anything really fit firm dont capital require maintain bunch fcc license large radio tower etc yeah maybe theres niche people cant afford radio infrastructure
'kykg1ti',get round dishy still function great
'kykh7ac',one reason think get extend warranty doubt anyone bestbuy could fix issue might able replace would wait weeks get replacement anyways
'kykhkfb',gen never miss beat
'kykhsrw',gen get faster every year
'kykjc11',think way im go see ping oversea servers
'kykk3vh',extend couplers outside
'kykk5uh',original gen beta still go strong several harsh winter strong thunderstorms smoke wildfires ive clean surface terminal twice particular reason preventive maintenance
'kykkefz',round dish party router
'kyknpk9',aggregation theyd rather data come us base starlink
'kyknpu4',leo service
'kyko2h2',control people actually see see china russia etc allow users view content uncontrolled
'kykq7yd',dishy home make ridgemount concrete slabs haul home make sled pulley system
'kyks09l',season start june
'kyksdav',gen single issue
'kykserl',solid since sept
'kyksvnt',https https seem work norway
'kyktvka',run since early beta always use routers
'kykvjbk',people live rural areas non service areas first see speed come starlink like get hit bolt lightning absolute best options situations happier experience starlink tbh
'kykychb',youre neck woods pm question far fairly quiet around
'kykywqz',know one simple request shark fricken lasers beam attach head
'kykzuxn',star ghz death star ghz
'kykzvy1',think overestimate much influence satellite internet launch active satellite starlink unable provide mbps everywhere us share market densely populate countries satellite internet would run capacity even lower market share exactly go influence single digit market share prediction ccp wont subsidize launch small constellation satellite similar oneweb continuous coverage use mostly military critical infrastructure backup government police etc mobility dont need residential satellite internet internally ccp want fiber internet everywhere utility pole setup china basically everywhere electricity available make happen pricey rollout long run years fiber cheaper satellite even rural areas dont need large satellite constellation internally
'kyl0cj0',mine days ago due personal circumstances round dishy never drop beat whilst lovingly take wife put somewhere dry safe life changer
'kyl2f74',complex send comment able read second later think youre put much stock add complexities network come starlink
'kyl2kve',map work still buy try think issue
'kyl2qth',however id give cable little slack
'kyl2tcf',mine faulty seemingly non replaceable poe adapter thingy weeks ago rip still get unit
'kyl344y',still go strong custom router
'kyl4124',want pair bond two interfaces computer easy require two physical interfaces work locally computer find ancient router lacp juniper mx series instance would
'kyl4ag6',datarates shortwave likely way low support need source long time amateur radio operator focus digital modes hf mf
'kyl5aqd',use shortwave isolation though essentially unlimited bandwidth fiber milliseconds later shortwave doesnt need send much example could pick best predictions send advance fiber something like hardly need bandwidth
'kyl5odr',eat bag dicks starlinks still impressive technologically
'kyl63lv',part need available store bring back radioshack please
'kyl64j0',customer report rock solid ever since never even issue
'kyl67nz',mine service currently turn reason itll go back service backup wan need
'kyl67z2',feel like need maker store ever anyone start could make world better place makers think dm
'kyl6exp',could call maybe
'kyl6nkm',destinations advertise aaaa resource record dns actually listen address operate network gateways cope destinations sometimes find destinations advertise aaaa record one home knock generally track network operations contact via whois record address block domain let know
'kyl6qg0',unit function like reliable sturdy
'kyl6twq',use mine clock
'kyl70sv',live road moderne people would call digital nomad say somewhere month month half place mostly whatever little european wilderness leave couldnt without starlink also solar power battery mean havent lose connection work
'kyl92bn',go ahead cut cable ask starlink unit may shorter cable due power requirements output power supply losses longer cable compare specifications two units may cat braid foil shield foil shield twist pair specifcations also show cable https https
'kyl950e',speedtest
'kyl9pqw',unifi dream machine pro still go strong
'kyl9trk',remove rental option residential connections uk business
'kyl9vml',aus still thing accord advert
'kylat26',queensland australia complaints
'kylbfvc',work great new gen still box case gen fail
'kyldehi',suspect become available political issue settle
'kyldfcy',zealand since zero issue solid rock
'kyldn36',get middle move new house amid chaos move forget secure even roof yet fell foot enough break dish contact starlink yesterday explain fault reply say send new one completely free
'kylfyof',get ta try
'kylhmy5',starlink app adapter sell around usd kenya know markup
'kylkdt8',think ios thing atm
'kylkjo1',live middle nowhere uk service cable lay starlink combine deco get incredible speed
'kylknam',kenya use starlink dishy roof app say obstructions speed good around ghz like mbps measure http however latency always play fortnite middle east servers get starlink europe ping lower middle east middle east shoot ping switch isp ping lower like middle east please help
'kylkztm',recent version starlink app ability selectively pause internet access device
'kylm0pw',nachowifi
'kylnt8b',never intend provide service everywhere intend provide mbps service areas serve fiber poorly serve cellular coverage succeed reduce far effectively rdop program enact purpose hijack fiber suppliers improve inner city suburban service gigabit ignore dsl wisp areas receive mb internet worldwide already capable give remote areas service affluent metropolitan areas come expect although never able get significant penetration congest areas unless cities us fiber suppliers incompetent greedy customers turn anything else reason ccp launch compete constellation pressure nations use exclusively filter content probably ai censor currently within border
'kylntv6',rent mine cable break get new one send week pay cent sure luck work experience far edit also australia
'kylo05u',beta tester original work fine snow melt solid reposition regularly slightly solid product
'kylocn1',thats stupid
'kylqzpl',reply forget cable change end buy gen best buy bite effort able add new unit account stop old one go see get apply recent payment new unit thank share
'kylrf3o',somme positif non si je ne trompe pas leur politique officielle surtout de combler les zone sans fibre voir sans adsl pour vivant dans une grande ville avec admettons plein de clients starlink autour de lui ce serait un souci par contre si les voisins en campagne sur les quelques kms ne sont pas clients il ne devrait avoir aucun bridage au final ce que le sav semble dire ici si je lis bien
'kyls1ml',untouched since jan zero issue thank sl hucking constant stream new sats speed greatly increase well buy gen back sale cdn backup still bench wait get game
'kyltez9',since apr single issue ever
'kyluvj2',well still go strong february
'kylvcxt',march fiber come summer though sadly say goodbye
'kylwoi0',lucky winner drop rate great really tho could still router cable dish crappy design company land rocket boosters move ship also still support guess order router cable see happen hopefully dishy hope starlink return policy
'kylww03',fix first unplug starlink router prevent check full length cable serious abrasions insulation damage crimp crush cut etc may sever conductor inspect connector receptacle bend break burn pin consider application quick spray electrical contact cleaner https side connection end cable eliminate oxidation buildup consider apply light coat dielectric grease https help protect connection future moisture condensation oxidation corrosion etc ensure connectors properly align securely reseat https finally certain secure cable structure within short distance connector slack length cable drip loop recommend provide strain relief connection also prevent act cable potentially cause excess tension unseat connector present temporarily remove starlink ethernet adapter hardware circuit may culprit perform factory reset cut power router time row reasonably quickly power router connect device starlink default ssid follow setup prompt app cable continuity test continue fail proactive investment spare part need continue troubleshoot ultimately pay swap first spare cable fail continuity test next spare router starlink mesh router good option fail continuity test finally full replacement kit send starlink spar available situation become totally reliant proper communication starlink support via submission ticket describe current symptoms troubleshoot step take bullet form hopefully engage bot obtain necessary replacement preempt delay starlink often require attachment upload follow digital photos face starlink dish cable connect mast dish cable connect base router include power lead router ac cable connect power source perhaps cable ping drop rate meter debug data
'kylx78y',years weeks ago party router stop work sl router connect work without issue fix meantime im back vacation yet check
'kylxurt',grind station give gps location satellite base satellite could decide allow grind station get connect internet
'kylxwz9',device imiss number outbox damage pleas advise allâ serial number
'kylyr4e',see post happen seem issue affect gen mine stop work days ago support still hasnt resolve issue
'kylys46',actually resell starlink incase youve loop https https
'kylz5ne',since still go strong even salty air
'kylzaut',years tower problems far
'kylzpkk',wonder buy gen kit
'kym1tyg',year post hillsboro county wonder get starlink better comcast xfinity think might better option esp since power go often
'kym21zj',two address different countries fly move hardware around country setup different location could useful near future intend move back country
'kym5s3b',slate ax router box work great issue change need
'kym66aq',work
'kym7lvy',starina bird cage mother barn barn watch horse really need game barn
'kym9ccn',question orbi orbi series satellite crazy nothing problems starlink gen finally figure need put switch orbi starlink actually talk however last weeks every single week week take everything reset entire system come many light lamps become quite irritate issue
'kymatc6',hughesnet live far expensive data cap latency high get job work remotely goal hear starlink today would cost get setup monthly payments would half unless get business plan equipment fee thousands monthly bill im pay hughesnet question know starlink acceptable latency meet ping requirements company work remotely dont want spend money switch find still wouldnt able use get remote
'kymbdqp',great ditch router though
'kymbgba',aware oneweb venture ironic
'kymbyta',date jan
'kymc49a',birthday feb party router since day
'kymd1v5',low bandwidth incredibly unreliable base space weather aka activity sun actual weather even crazy things like volcanic activity use world war ii global communication available time beside undersea cable besides short hop english channel wasnt practical cable lay ship wartime even plenty cable put prewar years shortwave travel atmosphere speed light air im curious limitations overcome application need high bandwidth beyond send market index
'kyme185',exist call microcenter
'kyme29j',starlink traffic brazil go two pop brazil brazil filter traffic require starlink use laser link move traffic away need another constellation filter traffic apply countries point unable provide mbps everywhere us criticize starlink highlight tiny capacity satellite internet provide
'kyme2i9',stuff looove technical insights like heck rout protocol work use anything need time settle since change pretty quickly sound like mostly somehow settle quickest first available path grind traffic
'kymel0z',many many case starlink supprt respond within hours ship complete replacement kit many us positive experience never hear
'kymeo53',solid issue
'kymhw4t',use microscope look cable end go dishy mush bend pin everything happen assume slight movement wind ect cause say heater cause anyhow hope dishy end good mess order new cable along new router case something get burn cant wait another shipment case damn cdn pesos
'kymix62',consider since starlink quietly bump weather resistance rat https generation kickstand kit mean totally submerge one meter water long minutes potential damage significant improvement cable connector reliability weather condition perhaps buy followup starlink get back run sell starlink items recently sell ebay https limit search items
'kymlosq',great minor hiccup release bad firmware recent issue party routers
'kymlucs',must clear view sky get app find spot obstructions good spot starlink wilk work get up
'kymmaz6',practically unlimited bandwidth fiber milliseconds later shortwave need send bite time critical information example could pick one gigabytes worth predictions send ahead time milliseconds prior
